"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","2,059,528","±11,700","2,059,528","(X)","274,045","±3,774","274,045","(X)","2,982,475","±11,520","2,982,475","(X)","1,246,754","±7,595","1,246,754","(X)","13,797,638","±19,379","13,797,638","(X)","2,479,892","±8,293","2,479,892","(X)","1,455,235","±6,160","1,455,235","(X)","412,304","±3,893","412,304","(X)","329,687","±4,510","329,687","(X)","9,141,675","±28,885","9,141,675","(X)","4,220,732","±13,456","4,220,732","(X)","493,151","±6,276","493,151","(X)","751,181","±5,831","751,181","(X)","5,105,448","±12,305","5,105,448","(X)","2,775,637","±11,977","2,775,637","(X)","1,343,422","±8,051","1,343,422","(X)","1,204,374","±6,458","1,204,374","(X)","1,865,456","±8,525","1,865,456","(X)","1,848,965","±8,172","1,848,965","(X)","615,235","±5,086","615,235","(X)","2,401,394","±7,099","2,401,394","(X)","2,829,804","±9,140","2,829,804","(X)","4,131,281","±12,742","4,131,281","(X)","2,363,442","±7,555","2,363,442","(X)","1,176,690","±8,112","1,176,690","(X)","2,563,244","±10,377","2,563,244","(X)","468,981","±3,571","468,981","(X)","824,012","±4,590","824,012","(X)","1,238,925","±7,143","1,238,925","(X)","570,689","±4,703","570,689","(X)","3,543,944","±7,728","3,543,944","(X)","856,970","±6,035","856,970","(X)","7,828,074","±18,401","7,828,074","(X)","4,496,359","±13,556","4,496,359","(X)","349,705","±2,892","349,705","(X)","4,929,322","±14,176","4,929,322","(X)","1,603,748","±5,259","1,603,748","(X)","1,744,270","±7,249","1,744,270","(X)","5,361,724","±11,743","5,361,724","(X)","448,318","±4,122","448,318","(X)","2,222,890","±11,062","2,222,890","(X)","382,302","±3,562","382,302","(X)","2,928,765","±12,443","2,928,765","(X)","11,449,769","±22,867","11,449,769","(X)","1,184,428","±7,000","1,184,428","(X)","285,548","±2,976","285,548","(X)","3,449,307","±12,826","3,449,307","(X)","3,168,080","±9,393","3,168,080","(X)","740,840","±7,351","740,840","(X)","2,535,198","±8,638","2,535,198","(X)","256,289","±2,645","256,289","(X)","","","",""
"        Married-couple household","945,230","±13,945","45.9%","±0.6","135,772","±4,626","49.5%","±1.6","1,389,432","±16,416","46.6%","±0.5","590,148","±10,792","47.3%","±0.8","6,599,228","±37,735","47.8%","±0.2","1,196,874","±15,380","48.3%","±0.6","663,179","±10,618","45.6%","±0.7","196,270","±6,120","47.6%","±1.4","82,541","±4,360","25.0%","±1.3","4,288,206","±28,981","46.9%","±0.3","1,971,007","±20,971","46.7%","±0.5","241,695","±6,323","49.0%","±1.1","410,032","±8,046","54.6%","±0.9","2,287,305","±20,020","44.8%","±0.4","1,293,561","±14,750","46.6%","±0.5","642,672","±10,137","47.8%","±0.7","590,956","±9,983","49.1%","±0.8","866,644","±11,283","46.5%","±0.6","769,606","±12,858","41.6%","±0.7","293,267","±6,539","47.7%","±1.0","1,091,914","±12,791","45.5%","±0.5","1,282,733","±13,943","45.3%","±0.5","1,897,370","±16,792","45.9%","±0.4","1,138,143","±13,744","48.2%","±0.5","510,177","±11,532","43.4%","±0.9","1,190,688","±14,024","46.5%","±0.5","229,637","±5,688","49.0%","±1.1","402,810","±7,316","48.9%","±0.8","538,328","±10,359","43.5%","±0.8","287,265","±7,114","50.3%","±1.2","1,764,953","±15,585","49.8%","±0.4","347,132","±7,111","40.5%","±0.9","3,284,367","±24,653","42.0%","±0.3","2,112,307","±22,926","47.0%","±0.5","158,667","±5,136","45.4%","±1.5","2,196,451","±18,113","44.6%","±0.3","747,696","±10,095","46.6%","±0.6","815,824","±9,875","46.8%","±0.6","2,473,004","±19,376","46.1%","±0.4","193,758","±7,265","43.2%","±1.5","1,070,193","±13,670","48.1%","±0.6","188,332","±4,846","49.3%","±1.2","1,367,949","±16,032","46.7%","±0.5","5,574,265","±32,713","48.7%","±0.3","679,429","±9,540","57.4%","±0.7","128,672","±4,134","45.1%","±1.5","1,664,649","±16,753","48.3%","±0.5","1,537,506","±14,841","48.5%","±0.5","349,674","±7,930","47.2%","±1.0","1,174,673","±13,088","46.3%","±0.5","127,893","±4,719","49.9%","±1.7","","","",""
"            With children of the householder under 18 years","321,774","±8,747","15.6%","±0.4","53,958","±2,807","19.7%","±1.0","473,779","±11,162","15.9%","±0.4","216,356","±7,838","17.4%","±0.6","2,602,080","±24,435","18.9%","±0.2","449,363","±9,634","18.1%","±0.4","244,501","±7,679","16.8%","±0.5","62,967","±4,322","15.3%","±1.0","31,727","±3,029","9.6%","±0.9","1,373,344","±18,959","15.0%","±0.2","751,626","±14,876","17.8%","±0.3","81,639","±3,822","16.6%","±0.7","162,570","±5,575","21.6%","±0.7","851,989","±12,308","16.7%","±0.2","476,610","±10,395","17.2%","±0.4","238,479","±6,849","17.8%","±0.5","231,004","±6,833","19.2%","±0.5","319,363","±8,156","17.1%","±0.4","275,451","±8,313","14.9%","±0.5","86,794","±4,850","14.1%","±0.8","428,563","±8,811","17.8%","±0.4","473,415","±11,145","16.7%","±0.4","656,516","±11,496","15.9%","±0.3","435,474","±8,985","18.4%","±0.4","182,151","±7,409","15.5%","±0.6","436,009","±9,345","17.0%","±0.4","79,148","±3,574","16.9%","±0.8","164,671","±4,695","20.0%","±0.6","193,057","±8,089","15.6%","±0.7","91,764","±4,718","16.1%","±0.8","691,273","±11,649","19.5%","±0.3","112,148","±5,530","13.1%","±0.6","1,205,868","±17,660","15.4%","±0.2","776,670","±13,535","17.3%","±0.3","65,176","±4,244","18.6%","±1.2","785,575","±12,410","15.9%","±0.2","289,125","±7,987","18.0%","±0.5","283,121","±7,353","16.2%","±0.4","860,096","±13,607","16.0%","±0.3","64,851","±5,182","14.5%","±1.1","357,955","±10,060","16.1%","±0.4","69,865","±3,544","18.3%","±0.9","489,573","±12,422","16.7%","±0.4","2,354,937","±23,620","20.6%","±0.2","313,930","±7,387","26.5%","±0.6","40,767","±2,833","14.3%","±1.0","647,853","±11,066","18.8%","±0.3","588,376","±12,218","18.6%","±0.4","114,172","±5,434","15.4%","±0.7","396,235","±9,370","15.6%","±0.4","46,235","±2,964","18.0%","±1.1","","","",""
"        Cohabiting couple household","102,844","±6,423","5.0%","±0.3","22,324","±2,180","8.1%","±0.8","246,536","±9,423","8.3%","±0.3","78,017","±4,851","6.3%","±0.4","1,078,326","±19,072","7.8%","±0.1","188,774","±7,358","7.6%","±0.3","107,978","±5,822","7.4%","±0.4","29,436","±3,250","7.1%","±0.8","26,492","±3,273","8.0%","±1.0","692,035","±17,779","7.6%","±0.2","253,705","±9,276","6.0%","±0.2","37,092","±3,121","7.5%","±0.6","54,720","±4,132","7.3%","±0.5","361,749","±11,089","7.1%","±0.2","205,865","±9,257","7.4%","±0.3","102,000","±5,350","7.6%","±0.4","82,835","±4,683","6.9%","±0.4","130,778","±5,488","7.0%","±0.3","126,472","±7,290","6.8%","±0.4","58,679","±3,872","9.5%","±0.6","155,743","±6,092","6.5%","±0.3","222,612","±8,322","7.9%","±0.3","292,930","±9,713","7.1%","±0.2","190,459","±7,177","8.1%","±0.3","57,530","±5,772","4.9%","±0.5","189,825","±8,072","7.4%","±0.3","34,841","±3,298","7.4%","±0.7","61,276","±4,077","7.4%","±0.5","111,549","±6,517","9.0%","±0.5","47,474","±4,026","8.3%","±0.7","240,270","±9,574","6.8%","±0.3","73,599","±5,582","8.6%","±0.6","555,961","±15,411","7.1%","±0.2","302,185","±9,111","6.7%","±0.2","27,025","±2,990","7.7%","±0.9","384,025","±10,068","7.8%","±0.2","107,221","±4,665","6.7%","±0.3","158,951","±7,436","9.1%","±0.4","384,121","±11,139","7.2%","±0.2","39,750","±5,171","8.9%","±1.1","132,480","±7,896","6.0%","±0.3","26,920","±2,791","7.0%","±0.7","203,075","±8,836","6.9%","±0.3","734,864","±18,079","6.4%","±0.2","67,741","±4,751","5.7%","±0.4","32,104","±2,939","11.2%","±1.0","214,317","±8,334","6.2%","±0.2","274,744","±9,533","8.7%","±0.3","51,736","±4,388","7.0%","±0.6","213,626","±6,850","8.4%","±0.3","17,853","±2,274","7.0%","±0.9","","","",""
"            With children of the householder under 18 years","35,872","±3,821","1.7%","±0.2","7,465","±1,262","2.7%","±0.5","71,628","±5,125","2.4%","±0.2","29,732","±3,121","2.4%","±0.2","370,272","±11,604","2.7%","±0.1","38,055","±3,954","1.5%","±0.2","33,286","±3,603","2.3%","±0.2","8,924","±2,323","2.2%","±0.6","2,752","±1,154","0.8%","±0.3","201,942","±10,682","2.2%","±0.1","79,093","±5,674","1.9%","±0.1","14,934","±2,202","3.0%","±0.4","17,920","±2,774","2.4%","±0.4","110,012","±6,919","2.2%","±0.1","76,406","±6,270","2.8%","±0.2","35,255","±3,552","2.6%","±0.3","26,043","±2,900","2.2%","±0.2","43,888","±4,079","2.4%","±0.2","45,535","±4,648","2.5%","±0.3","12,811","±2,080","2.1%","±0.3","50,977","±4,357","2.1%","±0.2","58,440","±4,955","2.1%","±0.2","86,394","±6,367","2.1%","±0.2","58,316","±4,259","2.5%","±0.2","17,952","±2,919","1.5%","±0.2","59,327","±4,417","2.3%","±0.2","7,033","±1,438","1.5%","±0.3","20,534","±2,826","2.5%","±0.3","34,673","±4,450","2.8%","±0.4","10,946","±2,584","1.9%","±0.5","85,347","±5,341","2.4%","±0.2","25,350","±3,942","3.0%","±0.5","150,503","±7,715","1.9%","±0.1","94,641","±6,516","2.1%","±0.1","6,315","±1,401","1.8%","±0.4","121,872","±5,736","2.5%","±0.1","39,548","±3,071","2.5%","±0.2","41,028","±4,781","2.4%","±0.3","102,246","±5,369","1.9%","±0.1","11,534","±2,613","2.6%","±0.6","40,701","±4,194","1.8%","±0.2","8,171","±1,620","2.1%","±0.4","57,622","±4,939","2.0%","±0.2","258,574","±10,487","2.3%","±0.1","18,059","±2,356","1.5%","±0.2","7,490","±1,496","2.6%","±0.5","64,269","±4,995","1.9%","±0.1","68,611","±5,083","2.2%","±0.2","18,429","±3,212","2.5%","±0.4","59,036","±4,268","2.3%","±0.2","4,173","±1,196","1.6%","±0.5","","","",""
"        Male householder, no spouse/partner present","368,949","±8,942","17.9%","±0.4","55,065","±3,599","20.1%","±1.2","565,595","±10,894","19.0%","±0.4","232,959","±7,387","18.7%","±0.6","2,460,999","±26,273","17.8%","±0.2","498,931","±11,752","20.1%","±0.5","259,622","±7,753","17.8%","±0.5","68,697","±4,143","16.7%","±1.0","81,716","±4,639","24.8%","±1.3","1,600,275","±21,499","17.5%","±0.2","734,188","±16,226","17.4%","±0.4","91,022","±3,876","18.5%","±0.8","122,942","±5,201","16.4%","±0.7","983,069","±15,197","19.3%","±0.3","525,726","±10,532","18.9%","±0.4","261,719","±6,914","19.5%","±0.5","237,380","±7,952","19.7%","±0.6","359,294","±7,706","19.3%","±0.4","360,192","±10,525","19.5%","±0.6","107,548","±5,074","17.5%","±0.8","416,039","±10,474","17.3%","±0.4","508,196","±10,896","18.0%","±0.4","811,316","±12,088","19.6%","±0.3","448,102","±8,120","19.0%","±0.3","216,374","±7,022","18.4%","±0.6","475,354","±9,444","18.5%","±0.4","95,584","±4,121","20.4%","±0.9","157,807","±4,705","19.2%","±0.6","262,225","±7,804","21.2%","±0.6","99,514","±5,010","17.4%","±0.9","570,030","±12,282","16.1%","±0.3","190,112","±6,325","22.2%","±0.7","1,532,190","±17,091","19.6%","±0.2","794,945","±13,132","17.7%","±0.3","81,310","±4,084","23.3%","±1.1","967,540","±12,420","19.6%","±0.2","318,527","±6,634","19.9%","±0.4","318,972","±7,456","18.3%","±0.4","1,003,009","±14,540","18.7%","±0.3","83,177","±4,245","18.6%","±0.9","378,873","±9,721","17.0%","±0.4","79,861","±3,981","20.9%","±1.0","537,772","±11,319","18.4%","±0.4","2,064,832","±28,969","18.0%","±0.2","196,084","±6,872","16.6%","±0.6","54,042","±3,608","18.9%","±1.2","612,529","±11,362","17.8%","±0.3","597,210","±10,988","18.9%","±0.3","136,890","±5,105","18.5%","±0.7","515,311","±9,320","20.3%","±0.4","50,128","±3,300","19.6%","±1.3","","","",""
"            With children of the householder under 18 years","20,867","±2,917","1.0%","±0.1","4,764","±1,326","1.7%","±0.5","37,713","±4,662","1.3%","±0.2","14,906","±2,472","1.2%","±0.2","165,083","±7,984","1.2%","±0.1","29,959","±3,158","1.2%","±0.1","16,016","±2,734","1.1%","±0.2","4,988","±1,543","1.2%","±0.4","2,509","±1,046","0.8%","±0.3","92,479","±7,349","1.0%","±0.1","48,954","±4,688","1.2%","±0.1","5,068","±1,249","1.0%","±0.3","10,237","±1,844","1.4%","±0.2","56,917","±4,679","1.1%","±0.1","35,768","±4,699","1.3%","±0.2","19,716","±2,200","1.5%","±0.2","15,175","±1,862","1.3%","±0.2","28,670","±3,470","1.5%","±0.2","24,386","±3,073","1.3%","±0.2","6,764","±1,398","1.1%","±0.2","28,272","±4,320","1.2%","±0.2","30,666","±3,801","1.1%","±0.1","54,845","±4,990","1.3%","±0.1","29,778","±2,761","1.3%","±0.1","13,954","±2,671","1.2%","±0.2","36,395","±3,777","1.4%","±0.1","7,784","±1,636","1.7%","±0.3","9,952","±1,548","1.2%","±0.2","20,302","±3,444","1.6%","±0.3","6,667","±1,586","1.2%","±0.3","32,163","±3,729","0.9%","±0.1","16,179","±2,241","1.9%","±0.3","77,772","±4,815","1.0%","±0.1","50,407","±4,536","1.1%","±0.1","4,383","±1,333","1.3%","±0.4","61,181","±5,248","1.2%","±0.1","28,244","±2,554","1.8%","±0.2","23,077","±2,983","1.3%","±0.2","68,307","±5,271","1.3%","±0.1","5,192","±1,846","1.2%","±0.4","26,087","±3,901","1.2%","±0.2","6,429","±1,609","1.7%","±0.4","33,940","±3,833","1.2%","±0.1","143,054","±7,653","1.2%","±0.1","15,546","±2,474","1.3%","±0.2","2,507","±831","0.9%","±0.3","40,320","±3,937","1.2%","±0.1","35,674","±3,623","1.1%","±0.1","8,492","±2,240","1.1%","±0.3","33,546","±2,928","1.3%","±0.1","3,091","±892","1.2%","±0.3","","","",""
"            Householder living alone","268,138","±7,811","13.0%","±0.4","40,668","±3,408","14.8%","±1.2","375,095","±9,004","12.6%","±0.3","174,736","±6,875","14.0%","±0.6","1,529,825","±23,765","11.1%","±0.2","354,150","±10,113","14.3%","±0.4","185,400","±8,547","12.7%","±0.6","49,706","±3,840","12.1%","±0.9","65,212","±4,274","19.8%","±1.3","1,119,662","±18,042","12.2%","±0.2","510,805","±12,044","12.1%","±0.3","63,333","±3,649","12.8%","±0.7","84,231","±4,977","11.2%","±0.7","727,196","±15,728","14.2%","±0.3","385,999","±8,872","13.9%","±0.3","192,693","±6,684","14.3%","±0.5","177,418","±6,475","14.7%","±0.5","255,784","±7,431","13.7%","±0.4","263,213","±9,669","14.2%","±0.5","82,776","±4,566","13.5%","±0.7","287,733","±9,013","12.0%","±0.4","350,003","±9,750","12.4%","±0.3","602,257","±10,621","14.6%","±0.3","334,604","±8,577","14.2%","±0.4","160,904","±7,209","13.7%","±0.6","353,253","±8,376","13.8%","±0.3","70,402","±4,234","15.0%","±0.9","120,185","±4,885","14.6%","±0.6","172,647","±6,814","13.9%","±0.5","72,050","±4,148","12.6%","±0.7","385,332","±10,224","10.9%","±0.3","129,194","±4,988","15.1%","±0.6","1,075,132","±17,134","13.7%","±0.2","580,629","±12,554","12.9%","±0.3","62,693","±3,691","17.9%","±1.0","725,800","±12,196","14.7%","±0.2","225,581","±6,448","14.1%","±0.4","226,431","±6,737","13.0%","±0.4","751,134","±13,306","14.0%","±0.2","60,193","±4,392","13.4%","±1.0","277,732","±8,421","12.5%","±0.4","62,099","±3,660","16.2%","±0.9","388,542","±9,149","13.3%","±0.3","1,425,163","±26,913","12.4%","±0.2","120,936","±5,402","10.2%","±0.5","41,636","±3,215","14.6%","±1.1","437,451","±10,515","12.7%","±0.3","426,587","±9,814","13.5%","±0.3","102,871","±4,559","13.9%","±0.6","392,022","±9,306","15.5%","±0.4","38,880","±3,342","15.2%","±1.3","","","",""
"                65 years and over","87,361","±4,393","4.2%","±0.2","11,801","±1,493","4.3%","±0.5","130,905","±5,955","4.4%","±0.2","54,829","±3,109","4.4%","±0.3","477,371","±11,459","3.5%","±0.1","96,648","±4,348","3.9%","±0.2","65,906","±4,386","4.5%","±0.3","17,862","±1,960","4.3%","±0.5","12,099","±1,583","3.7%","±0.5","414,234","±10,180","4.5%","±0.1","135,896","±6,058","3.2%","±0.1","23,649","±1,922","4.8%","±0.4","30,316","±2,229","4.0%","±0.3","210,705","±7,239","4.1%","±0.1","118,789","±4,990","4.3%","±0.2","56,514","±2,642","4.2%","±0.2","51,357","±2,797","4.3%","±0.2","83,084","±4,734","4.5%","±0.3","78,332","±4,190","4.2%","±0.2","31,735","±2,475","5.2%","±0.4","91,616","±3,931","3.8%","±0.2","120,299","±4,300","4.3%","±0.2","200,719","±6,183","4.9%","±0.2","98,373","±4,627","4.2%","±0.2","50,688","±3,623","4.3%","±0.3","107,471","±4,268","4.2%","±0.2","23,547","±1,665","5.0%","±0.4","36,758","±2,467","4.5%","±0.3","59,933","±3,524","4.8%","±0.3","27,697","±2,073","4.9%","±0.4","129,356","±5,493","3.7%","±0.2","44,225","±2,858","5.2%","±0.3","342,135","±8,400","4.4%","±0.1","171,940","±6,299","3.8%","±0.1","16,224","±1,785","4.6%","±0.5","228,489","±6,637","4.6%","±0.1","68,211","±2,990","4.3%","±0.2","77,259","±3,879","4.4%","±0.2","248,095","±7,477","4.6%","±0.1","20,901","±2,654","4.7%","±0.6","87,325","±4,193","3.9%","±0.2","17,544","±1,654","4.6%","±0.4","115,711","±5,190","4.0%","±0.2","353,603","±9,877","3.1%","±0.1","32,885","±3,108","2.8%","±0.3","14,855","±1,355","5.2%","±0.5","132,606","±5,225","3.8%","±0.2","121,779","±4,981","3.8%","±0.2","38,279","±2,512","5.2%","±0.3","120,356","±4,347","4.7%","±0.2","13,619","±1,631","5.3%","±0.6","","","",""
